state,location,notices,workers,reason
IL,"5555 EAST HIGHWAY 6 MORRIS, IL 60450",1,450,no matching place
LA,"9 Greenway Plaza Ste 2200, Houston Tx 77056",1,450,no matching place
NJ,"Eden Prairie, Minnesota (Offices throughout NJ)",3,450,no matching place
IL,"4201 SOUTH ASHLAND CHICAGO, IL 60608",1,447,no matching place
OH,"Conneaut (Ashtabula), Grafton (Lorain)",1,446,4 distinct places named
CT,"Stamford, Greenwich, Riverside, New Canaan, Old Lyme, New Canaan, Newington, Mystic, Newington, Waterford, Riverside, Ridgefield, Danbury, Bristol",1,444,10 distinct places named
FL,FL 32899,2,444,no place name in the string
IL,"6232 North Pulaski Chicago, IL 60646",1,443,no matching place
NY,Howard Beach,6,443,no matching place
OR,PORTAND,1,443,no matching place
NJ,Philadelphia,3,442,no matching place
IL,"500 East 51st Street 60615 1901 West Harrison Street Chicago, IL 60612",2,441,no matching place
LA,"777 Avenue L’Auberge Lake Charles, LA 70601",1,441,no matching place
IL,"1500 N ROUTE 50 PLAINFIELD, IL 60544",1,440,no matching place
IL,"300 SOUTH RIVERSIDE PLAZA CHICAGO, IL 60606",3,438,no matching place
WA,"Everett, Seattle, Tacoma, E. Wenatchee, Union Gap, Pasco, Spokane",1,437,6 distinct places named
IL,"1901 N. Shabbona STREATOR, IL 61364",1,436,no matching place
IL,"RT 2 HERRIN-COLP ROAD HERRIN, IL 62948",2,435,no matching place
FL,Cantonment,5,434,no matching place
WI,Delevan,2,431,no matching place
CA,North Hills,3,429,no matching place
OR,"Mountain View, CA",1,429,no matching place
NC,2745-A Whitehall Park Charlotte NC 28273,1,428,no matching place
IL,"P. O. Box 369 COULTERVILLE, IL 62237",3,427,no matching place
LA,"2650 Louisiana Ave., Building 4386 Fort Polk, LA 71459",1,426,no matching place
IL,"2200 E. Eldorado Decatur, IL 62521",2,425,no matching place
